"State","electoralVotesNumber","peoplePerElector","Pop"
"California","55","720245.3273","39613493"
"Texas","38","782376.6053","29730311"
"New York","29","665516.5862","19299981"
"Florida","29","756709.5517","21944577"
"Pennsylvania","20","640206.1500","12804123"
"Illinois","20","628466.0500","12569321"
"Ohio","18","650812.1111","11714618"
"Michigan","16","624526.6875","9992427"
"Georgia","16","676875.4375","10830007"
"North Carolina","15","713401.4667","10701022"
"New Jersey","14","633894.2857","8874520"
"Virginia","13","661845","8603985"
"Washington","12","649745.0833","7796941"
"Tennessee","11","631296.3636","6944260"
"Massachusetts","11","628385.3636","6912239"
"Indiana","11","618696.6364","6805663"
"Arizona","11","683645.7273","7520103"
"Wisconsin","10","585249","5852490"
"Missouri","10","616903.8000","6169038"
"Minnesota","10","570639.8000","5706398"
"Maryland","10","606543.6000","6065436"
"South Carolina","9","586425.5556","5277830"
"Colorado","9","654848.2222","5893634"
"Alabama","9","548243.6667","4934193"
"Louisiana","8","578375.2500","4627002"
"Kentucky","8","560089.1250","4480713"
"Oregon","7","612777","4289439"
"Oklahoma","7","570063.2857","3990443"
"Connecticut","7","507545.8571","3552821"
"Utah","6","551795.6667","3310774"
"Nevada","6","530964.3333","3185786"
"Mississippi","6","494401.1667","2966407"
"Kansas","6","486204","2917224"
"Iowa","6","527995.6667","3167974"
"Arkansas","6","505657.6667","3033946"
"West Virginia","5","353571.8000","1767859"
"New Mexico","5","421001","2105005"
"Nebraska","5","390399.2000","1951996"
"Rhode Island","4","265377.2500","1061509"
"New Hampshire","4","343050.7500","1372203"
"Maine","4","338630.5000","1354522"
"Idaho","4","465030.7500","1860123"
"Hawaii","4","351607.5000","1406430"
"Wyoming","3","193691.6667","581075"
"Vermont","3","207750.3333","623251"
"South Dakota","3","298860.3333","896581"
"North Dakota","3","256675.3333","770026"
"Montana","3","361668","1085004"
"Delaware","3","330111.3333","990334"
"Alaska","3","241452.3333","724357"